Protocolo,Chunk_Size_S,Condicao_Rede,Repeticao,Startup_Delay_S,Stall_Ratio_Pct,Resolucao_Media_P
MPEG-DASH,2,Estavel,1,0.032,0.0,1044.0
MPEG-DASH,2,Estavel,2,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,3,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,4,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,5,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,6,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,7,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,8,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,9,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,10,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,11,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,12,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,13,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,14,0.001,0.0,1044.0
MPEG-DASH,2,Estavel,15,0.001,0.0,1044.0
MPEG-DASH,6,Estavel,1,0.002,0.0,972.0
MPEG-DASH,6,Estavel,2,0.002,0.0,972.0
MPEG-DASH,6,Estavel,3,0.002,0.0,972.0
MPEG-DASH,6,Estavel,4,0.001,0.0,972.0
MPEG-DASH,6,Estavel,5,0.002,0.0,972.0
MPEG-DASH,6,Estavel,6,0.001,0.0,972.0
MPEG-DASH,6,Estavel,7,0.002,0.0,972.0
MPEG-DASH,6,Estavel,8,0.001,0.0,972.0
MPEG-DASH,6,Estavel,9,0.001,0.0,972.0
MPEG-DASH,6,Estavel,10,0.001,0.0,972.0
MPEG-DASH,6,Estavel,11,0.001,0.0,972.0
MPEG-DASH,6,Estavel,12,0.001,0.0,972.0
MPEG-DASH,6,Estavel,13,0.001,0.0,972.0
MPEG-DASH,6,Estavel,14,0.001,0.0,972.0
MPEG-DASH,6,Estavel,15,0.001,0.0,972.0
Apple-HLS,2,Estavel,1,0.001,3.33,1044.0
Apple-HLS,2,Estavel,2,0.001,3.33,1044.0
